UNIVERSIDADE DE SAO PAULO;21637
UNIVERSIDADE ESTADUAL DE CAMPINAS;8338
UNIVERSIDADE ESTADUAL PAULISTA;7927
UNIVERSIDADE FEDERAL DE SAO PAULO;3545
UNIVERSIDADE FEDERAL DE SAO CARLOS;3380
