Estados Unidos,22904 
França,9096
Inglaterra,8942 
Alemanha,8817 
Espanha,8592
Itália,6058 
Portugal,5927 
Canadá,5026 
China,4286 
Argentina,3917
Rússia,3805
Suíça,3767
Holanda,3650 
Autralia,3617
Colômbia,3503 
Polônia,3036 
República Checa,2815
México,2802 
Chile,2791
Índia,2688 

