UNIVERSIDADE DE SAO PAULO;30106
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;12009
UNIVERSIDADE ESTADUAL DE CAMPINAS;11415
UNIVERSIDADE ESTADUAL PAULISTA;11002
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;10237
UNIVERSIDADE FEDERAL DE MINAS GERAIS;10168
UNIVERSIDADE FEDERAL DE SANTA CATARINA ;5604
UNIVERSIDADE FEDERAL DO PARANA;5518
FUNDACAO OSWALDO CRUZ;5441
EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA ;5199
